,2016,2017,2018,Gesamt
sonstige Gewaltdelikte,1100,1202,1151,3453
schwere Gewaltdelikte,570,623,562,1755
Widerstand,46,48,46,140
Schwerer Raub,31,41,28,100
Gefährlicher Eingriff Verkehr,20,37,33,90
Brandstiftung,13,6,8,27
Tötungsdelikte,4,10,12,26
Landfriedensbruch,3,4,7,14
Zwangsheirat,0,0,1,1
Gesamt,1787,1971,1848,5606
